roomID,room_name,location,link
50000,산너머펜션,경기 양평군 옥천면 신복리 65,https://www.goodchoice.kr/product/detail?ano=50000
50001,전라무주좋은인연펜션,전북 무주군 설천면 삼공리 731-1,https://www.goodchoice.kr/product/detail?ano=50001
50002,부여굿뜨래웰빙마을 글램핑코리아,충남 부여군 부여읍 가탑리 94-3,https://www.goodchoice.kr/product/detail?ano=50002
50006,거제로펜션,경남 거제시 동부면 학동리 233,https://www.goodchoice.kr/product/detail?ano=50006
50007,해뜨는집,강원 춘천시 남산면 방곡리 401-3,https://www.goodchoice.kr/product/detail?ano=50007
50008,황금들녘펜션,전남 여수시 화양면 창무리 454,https://www.goodchoice.kr/product/detail?ano=50008
50009,홍천 보금자리펜션,강원 홍천군 서면 어유포리 285-1,https://www.goodchoice.kr/product/detail?ano=50009
50101,올래어촌펜션,제주특별자치도 제주시 이호일동 1700-4,https://www.goodchoice.kr/product/detail?ano=50101
50102,삼척 장호 굿모닝펜션,강원 삼척시 근덕면 장호리 212,https://www.goodchoice.kr/product/detail?ano=50102
50103,라비타펜션,경기 가평군 가평읍 금대리 272-9,https://www.goodchoice.kr/product/detail?ano=50103
50104,캐리비안리조트,충남 태안군 남면 신온리 722-31,https://www.goodchoice.kr/product/detail?ano=50104
50105,영천 키즈팜글램핑,경북 영천시 대창면 대창리 972,https://www.goodchoice.kr/product/detail?ano=50105
50106,오크밸리카라반,강원 원주시 지정면 판대리 577-7,https://www.goodchoice.kr/product/detail?ano=50106
50108,스카이뷰 호텔,경남 창원시 마산합포구 신포동2가 117-34,https://www.goodchoice.kr/product/detail?ano=50108
50109,스타즈호텔 울산,울산 남구 삼산동 224-17,https://www.goodchoice.kr/product/detail?ano=50109
50111,양평 맑은물소리 펜션,경기 양평군 청운면 갈운리 1162-8,https://www.goodchoice.kr/product/detail?ano=50111
50112,중문예촌펜션,제주특별자치도 서귀포시 상예동 1767-1,https://www.goodchoice.kr/product/detail?ano=50112
50115,별숲글램핑,경남 창녕군 성산면 연당리 690-2,https://www.goodchoice.kr/product/detail?ano=50115
50119,남원 한옥호텔 춘향家(춘향가),전북 남원시 어현동 37-121 춘향가,https://www.goodchoice.kr/product/detail?ano=50119
50120,청간정카라반,강원 고성군 토성면 용촌리 84-3,https://www.goodchoice.kr/product/detail?ano=50120
50121,라인뷰풀빌라,경북 경주시 양남면 신대리 21-2,https://www.goodchoice.kr/product/detail?ano=50121
50124,메이페어 나르샤펜션,강원 평창군 봉평면 무이리 1140,https://www.goodchoice.kr/product/detail?ano=50124
50125,솔롱고글램핑,경북 영천시 금호읍 약남리 936-4,https://www.goodchoice.kr/product/detail?ano=50125
50126,강릉 까르디에펜션,강원 강릉시 사천면 사천진리 89-24,https://www.goodchoice.kr/product/detail?ano=50126
