roomID,room_name,location,link,image_link
50543,의정부 클라우드호텔,경기 의정부시 의정부동 498-10,https://www.goodchoice.kr/product/detail?ano=50543,//image.goodchoice.kr/resize_490x348/affiliate/2018/04/03/5ac2cf1cc707a.jpg
50544,엘프라도,경기 가평군 청평면 대성리 391-3,https://www.goodchoice.kr/product/detail?ano=50544,//image.goodchoice.kr/resize_490x348/affiliate/2020/07/17/09/lprado_HYPXkJp4_01.jpg
50545,김천 아리아,경북 김천시 감호동 29,https://www.goodchoice.kr/product/detail?ano=50545,//image.goodchoice.kr/resize_490x348/adimg_new/50545/140935/077c519a2b494335a61b4b57bcf1d058.jpg
50546,정동진 바다부채길,강원 강릉시 강동면 정동진리 264-2,https://www.goodchoice.kr/product/detail?ano=50546,//image.goodchoice.kr/resize_490x348/adimg_new/50546/140986/003f9ba39407769b938d8ed65b1cdcdf.jpg
50550,통영 세븐,경남 통영시 광도면 죽림리 1571-20,https://www.goodchoice.kr/product/detail?ano=50550,//image.goodchoice.kr/resize_490x348/adimg_new/50550/142249/38ce268d6b0c6a93834c19b06cd41e47.jpg
50551,경포대 산토리니,강원 강릉시 강문동 산 4-5,https://www.goodchoice.kr/product/detail?ano=50551,//image.goodchoice.kr/resize_490x348/adimg_new/50551/140869/10b478d00aea89d20d5f7c9acc1aa2de.jpg
50552,여주 드라이브인 호텔 숲,경기 여주시 가남읍 신해리 609-2,https://www.goodchoice.kr/product/detail?ano=50552,//image.goodchoice.kr/resize_490x348/adimg_new/50552/141564/b5557f0baddca4b425fd0e227ea7cad8.jpg
50553,경포의휴일 펜션,강원 강릉시 초당동 453-2,https://www.goodchoice.kr/product/detail?ano=50553,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/12/5a812a8ce860b.jpg
50555,전주 한옥마을 혜윰,전라북도 전주시 완산구 교동 213  　,https://www.goodchoice.kr/product/detail?ano=50555,//image.goodchoice.kr/resize_490x348/adimg_new/50555/0/0d35738a91367b8a5fa91780a4d29b6b.jpg
50556,소우도 펜션,인천 옹진군 영흥면 선재리 499-31,https://www.goodchoice.kr/product/detail?ano=50556,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/29/5f9a9a3835ac8.jpg
50563,여수 테디베어스 게스트하우스,전남 여수시 고소동 796-2 　,https://www.goodchoice.kr/product/detail?ano=50563,//image.goodchoice.kr/resize_490x348/adimg_new/50563/0/2997ed423b9b7e8d8e6ea80ef310e8cb.jpg
50568,광주 호텔 Coo,광주 남구 방림동 540-21,https://www.goodchoice.kr/product/detail?ano=50568,//image.goodchoice.kr/resize_490x348/adimg_new/50568/183516/17d9d6481ebe67b9a50754b41079399e.jpg
50572,메르블루,경남 남해군 남면 선구리 1388,https://www.goodchoice.kr/product/detail?ano=50572,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/07/04/11dd5d84cc3146e45482c999dfaf51a9.jpg
50574,하동 가비원,경남 하동군 화개면 탑리 674-5,https://www.goodchoice.kr/product/detail?ano=50574,//image.goodchoice.kr/resize_490x348/adimg_new/50574/142387/0174f540cea988ce47a46941ea1db8b7.jpg
50576,예산 숲속모텔,충남 예산군 덕산면 시량리 98-2,https://www.goodchoice.kr/product/detail?ano=50576,//image.goodchoice.kr/resize_490x348/adimg_new/50576/142622/f866d1c5acd2ce26153fb051f1027a79.jpg
50577,보은 숲속의 하얀펜션,충북 보은군 산외면 이식리 456-5,https://www.goodchoice.kr/product/detail?ano=50577,//image.goodchoice.kr/resize_490x348/affiliate/2019/09/10/5d774ff41a8c4.jpg
50579,평창 펜션레이,강원 평창군 봉평면 무이리 1143,https://www.goodchoice.kr/product/detail?ano=50579,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/13/5a828217c5c6a.jpg
50586,명지 브라운도트,부산 강서구 명지동 1526-3,https://www.goodchoice.kr/product/detail?ano=50586,//image.goodchoice.kr/resize_490x348/adimg_new/50586/277757/35d15eb640bd72ecf5e6688ceae0b4fe.jpg
50588,탄금호 캠핑리조트,충북 충주시 중앙탑면 탑평리 137,https://www.goodchoice.kr/product/detail?ano=50588,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/08/01/30f947455dfe66752c46fc76ddc723b5.jpg
50596,송림펜션,충남 태안군 남면 진산리 444,https://www.goodchoice.kr/product/detail?ano=50596,//image.goodchoice.kr/resize_490x348/affiliate/2020/04/17/05/5486183f9607d54e57e893bf2408a0a0.jpg
50599,포천 팔레스,경기 포천시 신읍동 248-2,https://www.goodchoice.kr/product/detail?ano=50599,//image.goodchoice.kr/resize_490x348/adimg_new/50599/142132/144e2d180289210e91965a74e230a2e0.jpg
50609,평창어울림펜션,강원 평창군 봉평면 흥정리 255-9,https://www.goodchoice.kr/product/detail?ano=50609,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/23/03/877143c3eacdbc8a4aa4e2db175d7707.jpg
50611,나주 벌꿀호텔,전남 나주시 삼영동 173-2,https://www.goodchoice.kr/product/detail?ano=50611,//image.goodchoice.kr/resize_490x348/adimg_new/50611/142136/b9b485dba561b8707ead81aa2b6b6cd3.jpg
